rank,name,country,overall_score,research_qlt_score,industry_score,intl_outlook_score,research_env_score,teaching_score
601–800,COMSATS University Islamabad,Pakistan,38.2–43.2,87.0,36.5,49.9,15.9,19.2
601–800,Coventry University,United Kingdom,38.2–43.2,68.2,39.0,94.9,15.3,21.6
601–800,Cyprus International University,Northern Cyprus,38.2–43.2,81.9,17.1,72.6,11.4,15.0
601–800,Cyprus University of Technology,Cyprus,38.2–43.2,71.4,33.1,69.9,23.8,26.9
601–800,De Montfort University,United Kingdom,38.2–43.2,73.3,44.0,93.7,15.7,17.7
601–800,Duy Tan University,Vietnam,38.2–43.2,88.7,24.1,54.5,14.6,12.7
601–800,East China University of Science and Technology,China,38.2–43.2,61.0,93.8,23.2,26.6,29.7
601–800,Eastern Mediterranean University,Northern Cyprus,38.2–43.2,74.8,35.9,84.9,14.8,23.1
601–800,École Centrale de Lyon,France,38.2–43.2,35.2,90.2,78.5,27.8,37.2
601–800,École des Mines de Saint-Étienne,France,38.2–43.2,32.5,76.8,69.8,31.5,42.6
601–800,École Nationale des Travaux Publics de l'État (ENTPE),France,38.2–43.2,37.1,75.7,72.0,37.7,37.3
601–800,Empress Catherine II Saint Petersburg Mining UniversityRussian Federation,Russian Federation,38.2–43.2,70.7,51.1,46.2,16.9,29.4
601–800,Ewha Womans University,South Korea,38.2–43.2,47.9,88.4,51.0,36.9,36.6
601–800,Federal University of Rio de Janeiro,Brazil,38.2–43.2,37.0,84.0,36.4,37.3,41.3
601–800,Florida Atlantic University,United States,38.2–43.2,61.1,63.3,55.8,22.8,22.7
601–800,Future University in Egypt,Egypt,38.2–43.2,78.0,16.9,64.4,10.4,22.3
601–800,Fuzhou University,China,38.2–43.2,72.6,77.2,36.0,18.8,19.2
601–800,Gachon University,South Korea,38.2–43.2,57.0,71.4,58.2,25.7,34.5
601–800,Golestan University,Iran,38.2–43.2,79.7,24.2,61.6,13.3,21.7
601–800,Gorgan University of Agricultural Sciences and Natural Resources,Iran,38.2–43.2,73.8,33.7,37.7,11.1,31.3
601–800,Government College University Faisalabad,Pakistan,38.2–43.2,83.3,21.0,48.5,17.2,21.3
601–800,Graz University of Technology,Austria,38.2–43.2,49.4,93.7,81.7,21.3,39.9
601–800,Guangdong University of Technology,China,38.2–43.2,79.5,82.5,26.2,18.9,17.6
601–800,Guangzhou University,China,38.2–43.2,79.9,44.1,32.0,20.4,20.9
601–800,Harokopio University of Athens,Greece,38.2–43.2,78.2,41.5,40.1,28.8,18.5
601–800,Hiroshima University,Japan,38.2–43.2,46.4,76.2,51.9,30.4,39.1
601–800,Imam Mohammad Ibn Saud Islamic University,Saudi Arabia,38.2–43.2,61.1,23.1,72.3,22.4,38.8
601–800,Indian Institute of Technology Patna,India,38.2–43.2,71.0,28.7,21.2,22.7,32.9
601–800,Innopolis UniversityRussian Federation,Russian Federation,38.2–43.2,53.4,56.1,84.1,26.3,21.8
601–800,"International Institute of Information Technology, Hyderabad",India,38.2–43.2,67.8,57.5,41.3,21.2,26.5
601–800,Iran University of Medical Sciences,Iran,38.2–43.2,53.5,39.7,38.4,17.0,47.9
601–800,ISCTE-University Institute of Lisbon,Portugal,38.2–43.2,56.0,56.0,52.3,35.2,29.2
601–800,Isfahan University of Technology,Iran,38.2–43.2,61.4,83.4,34.6,29.7,33.9
601–800,Jagiellonian University,Poland,38.2–43.2,51.2,51.0,44.3,32.3,41.2
601–800,Jiangnan University,China,38.2–43.2,62.3,91.6,22.5,24.1,26.8
601–800,Jönköping University,Sweden,38.2–43.2,73.3,28.9,64.8,20.1,20.2
601–800,Juntendo University,Japan,38.2–43.2,68.6,83.0,25.4,17.4,37.7
601–800,Kafrelsheikh University,Egypt,38.2–43.2,76.0,21.1,52.1,9.5,27.8
601–800,Kansas State University,United States,38.2–43.2,53.4,66.7,54.8,22.7,33.6
601–800,Keio University,Japan,38.2–43.2,48.4,75.0,40.5,27.5,37.0
601–800,KIIT University,India,38.2–43.2,68.6,55.9,41.7,17.4,38.5
601–800,King Faisal University,Saudi Arabia,38.2–43.2,73.6,38.6,75.3,14.9,20.1
601–800,Kobe University,Japan,38.2–43.2,45.5,86.2,39.2,27.3,39.4
601–800,Kurdistan University of Medical Sciences,Iran,38.2–43.2,68.9,21.9,30.8,11.7,42.3
601–800,Lehigh University,United States,38.2–43.2,58.8,67.3,72.3,23.0,34.2
601–800,Liverpool John Moores University,United Kingdom,38.2–43.2,79.7,45.4,81.4,19.5,19.3
601–800,London Metropolitan University,United Kingdom,38.2–43.2,72.7,30.3,91.5,13.5,16.5
601–800,London South Bank University,United Kingdom,38.2–43.2,74.3,48.6,94.9,12.8,18.6
601–800,Lorestan University of Medical Sciences,Iran,38.2–43.2,66.8,48.4,26.7,18.2,39.8
601–800,Louisiana State University,United States,38.2–43.2,65.4,65.5,46.1,22.1,34.3
601–800,Lovely Professional University,India,38.2–43.2,84.7,24.0,48.8,14.6,21.6
601–800,Mahidol University,Thailand,38.2–43.2,48.2,61.2,49.0,23.2,38.2
601–800,Majmaah University,Saudi Arabia,38.2–43.2,64.7,36.7,76.0,25.7,28.3
601–800,Malaviya National Institute of Technology,India,38.2–43.2,79.7,23.9,20.2,17.0,24.9
601–800,Manchester Metropolitan University,United Kingdom,38.2–43.2,78.8,39.0,81.7,18.7,19.8
601–800,Mansoura University,Egypt,38.2–43.2,70.6,37.4,77.1,13.0,20.3
601–800,Marche Polytechnic University,Italy,38.2–43.2,75.0,67.6,36.5,22.9,23.7
601–800,Masaryk University,Czechia,38.2–43.2,52.9,45.7,67.4,32.4,26.2
601–800,Mazandaran University of Medical Sciences,Iran,38.2–43.2,61.2,31.1,25.7,12.5,44.4
601–800,Mississippi State University,United States,38.2–43.2,62.2,64.0,51.3,20.5,28.3
601–800,Nanjing Forestry University,China,38.2–43.2,83.3,49.2,27.8,21.4,21.5
601–800,Nanjing Tech University,China,38.2–43.2,70.0,82.9,35.5,17.1,23.3
601–800,Nanjing University of Aeronautics and Astronautics,China,38.2–43.2,52.7,96.7,24.9,34.1,29.9
601–800,Nantes Université,France,38.2–43.2,66.6,66.1,60.2,22.4,27.2
601–800,National Institute of Applied Sciences of Lyon (INSA Lyon),France,38.2–43.2,37.9,92.7,71.9,24.2,37.1
601–800,National Sun Yat-Sen University,Taiwan,38.2–43.2,42.9,88.3,48.4,34.6,32.0
601–800,National University of Science and Technology (MISiS)Russian Federation,Russian Federation,38.2–43.2,38.5,68.6,58.8,30.2,38.6
601–800,National University of Sciences and Technology,Pakistan,38.2–43.2,73.2,61.0,54.3,20.4,26.0
601–800,Near East University,Northern Cyprus,38.2–43.2,70.0,54.1,93.1,19.3,24.0
601–800,"Northeastern University, China",China,38.2–43.2,60.7,92.5,40.3,28.7,31.2
601–800,Nottingham Trent University,United Kingdom,38.2–43.2,83.3,37.0,90.4,13.9,19.9
601–800,Obuda University,Hungary,38.2–43.2,69.2,22.1,48.3,26.7,18.5
601–800,Ohio University (Main campus),United States,38.2–43.2,60.8,56.5,37.3,20.2,33.0
601–800,Oklahoma State University,United States,38.2–43.2,61.5,60.9,55.9,20.2,35.0
601–800,Open University of Catalonia,Spain,38.2–43.2,75.1,26.2,51.0,19.6,18.2
601–800,Oxford Brookes University,United Kingdom,38.2–43.2,56.9,29.8,88.5,20.0,25.8
601–800,Panjab University,India,38.2–43.2,65.6,41.6,23.9,18.0,35.7
601–800,Paris Lodron Universität Salzburg,Austria,38.2–43.2,53.6,47.1,93.5,21.1,32.1
601–800,Parthenope University of Naples,Italy,38.2–43.2,77.7,29.2,32.0,22.5,20.0
601–800,Polytechnic University of Valencia,Spain,38.2–43.2,52.9,85.7,57.7,25.5,29.8
601–800,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,38.2–43.2,39.7,74.7,43.2,33.5,35.8
601–800,Prince Sattam Bin Abdulaziz University,Saudi Arabia,38.2–43.2,80.7,23.6,76.1,14.3,22.4
601–800,Qassim University,Saudi Arabia,38.2–43.2,48.3,22.0,81.5,23.1,35.8
601–800,Qazvin University of Medical Sciences,Iran,38.2–43.2,72.9,21.0,28.0,12.1,39.1
601–800,Qingdao University,China,38.2–43.2,84.0,58.0,23.9,18.6,17.4
601–800,Rochester Institute of Technology,United States,38.2–43.2,66.4,61.3,47.7,20.8,23.0
601–800,Rovira i Virgili University,Spain,38.2–43.2,66.0,54.1,59.8,25.2,28.2
601–800,RUDN UniversityRussian Federation,Russian Federation,38.2–43.2,43.1,29.1,69.9,26.7,37.6
601–800,Sciences Po,France,38.2–43.2,62.7,18.5,85.5,26.5,28.3
601–800,Shahid Beheshti University of Medical Sciences,Iran,38.2–43.2,50.1,69.8,28.9,21.9,46.2
601–800,South China Normal University,China,38.2–43.2,65.4,69.0,37.8,23.1,24.6
601–800,SRUC (Scotland’s Rural College),United Kingdom,38.2–43.2,79.0,28.1,63.9,13.7,25.8
601–800,Sukkur IBA University,Pakistan,38.2–43.2,80.7,20.1,49.4,26.0,18.8
601–800,Sultan Qaboos University,Oman,38.2–43.2,64.7,39.0,73.7,20.4,29.4
601–800,SUNY Binghamton University,United States,38.2–43.2,56.8,62.5,40.6,24.8,33.4
601–800,Symbiosis International University,India,38.2–43.2,76.6,20.7,47.6,14.2,31.7
601–800,Tabriz University of Medical Sciences,Iran,38.2–43.2,70.2,37.0,34.9,15.3,40.9
601–800,Taif University,Saudi Arabia,38.2–43.2,80.0,21.2,76.5,16.0,15.7
601–800,Tallinn University of Technology,Estonia,38.2–43.2,63.3,58.9,69.0,20.2,28.3
601–800,Tashkent Institute of Irrigation and Agricultural Mechanisation,Uzbekistan,38.2–43.2,81.3,48.8,39.9,12.8,33.4
601–800,Tecnológico de Monterrey,Mexico,38.2–43.2,61.0,62.5,66.3,23.4,23.3
601–800,Texas Tech University,United States,38.2–43.2,56.4,60.8,58.2,21.2,30.1
601–800,Thapar Institute of Engineering and Technology,India,38.2–43.2,83.3,28.9,33.4,13.9,26.3
601–800,The Catholic University of America,United States,38.2–43.2,42.7,66.0,49.6,20.3,44.6
601–800,The Catholic University of Korea,South Korea,38.2–43.2,48.3,87.8,39.5,39.2,31.7
601–800,The University of Aizu,Japan,38.2–43.2,68.1,57.0,82.8,13.4,29.8
601–800,The University of Jordan,Jordan,38.2–43.2,62.8,35.4,71.3,15.1,30.4
601–800,The University of Texas at San Antonio,United States,38.2–43.2,76.6,60.1,41.9,24.4,22.4
601–800,Ton Duc Thang University,Vietnam,38.2–43.2,89.0,26.1,60.9,14.5,14.9
601–800,Toronto Metropolitan University,Canada,38.2–43.2,59.9,67.7,63.3,31.4,19.5
601–800,"UEES, Espiritu Santo University",Ecuador,38.2–43.2,58.3,37.7,92.0,14.9,36.8
601–800,UiT The Arctic University of Norway,Norway,38.2–43.2,66.9,48.7,65.7,23.0,27.9
601–800,Ulster University,United Kingdom,38.2–43.2,63.2,52.7,84.9,22.4,21.7
601–800,Universidade Federal do Rio Grande do Sul,Brazil,38.2–43.2,53.3,56.1,34.8,24.1,36.7
601–800,Universitat Politècnica de Catalunya,Spain,38.2–43.2,58.0,74.7,61.3,20.8,33.4
601–800,Université Côte d'Azur,France,38.2–43.2,64.1,64.4,80.3,22.6,27.2
601–800,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),Malaysia,38.2–43.2,63.4,44.3,57.1,21.3,33.8
601–800,Universiti Pendidikan Sultan Idris,Malaysia,38.2–43.2,50.4,53.4,75.9,26.4,36.6
601–800,Universiti Putra Malaysia,Malaysia,38.2–43.2,51.5,51.0,79.0,28.8,36.1
601–800,Universiti Tenaga Nasional (UNITEN),Malaysia,38.2–43.2,64.1,75.6,64.2,17.5,25.6
601–800,University of Alaska Fairbanks,United States,38.2–43.2,55.3,51.9,70.3,31.0,34.0
601–800,University of Aveiro,Portugal,38.2–43.2,54.9,52.6,47.7,30.1,29.2
601–800,University of Bari Aldo Moro,Italy,38.2–43.2,74.4,61.7,37.5,25.7,19.8
601–800,University of Beira Interior,Portugal,38.2–43.2,67.3,42.0,52.2,22.9,21.2
601–800,University of Brighton,United Kingdom,38.2–43.2,66.4,64.1,86.8,19.4,19.2
601–800,University of Cagliari,Italy,38.2–43.2,67.0,62.1,41.0,22.6,33.1
601–800,University of Calabria,Italy,38.2–43.2,64.9,55.6,42.2,20.3,36.5
601–800,University of Crete,Greece,38.2–43.2,70.5,64.0,46.1,25.4,20.0
601–800,University of Denver,United States,38.2–43.2,64.3,55.5,39.8,24.7,37.7
601–800,University of Derby,United Kingdom,38.2–43.2,73.0,30.3,78.3,13.8,19.1
601–800,"University of Engineering and Technology, Taxila",Pakistan,38.2–43.2,83.5,24.2,47.7,14.4,21.4
601–800,University of Granada,Spain,38.2–43.2,62.2,55.2,55.1,26.4,28.8
601–800,University of Haifa,Israel,38.2–43.2,66.9,58.4,34.4,29.3,26.7
601–800,University of Ha’il,Saudi Arabia,38.2–43.2,73.2,24.3,77.4,11.5,22.2
601–800,University of Hertfordshire,United Kingdom,38.2–43.2,72.0,41.7,92.7,13.2,18.6
601–800,University of Insubria,Italy,38.2–43.2,80.7,46.9,40.8,23.1,18.4
601–800,University of Kaiserslautern,Germany,38.2–43.2,55.3,83.0,51.8,30.3,34.9
601–800,University of L’Aquila,Italy,38.2–43.2,66.1,77.8,38.3,23.6,33.4
601–800,University of Lille,France,38.2–43.2,57.4,65.5,67.7,24.0,31.8
601–800,University of Lincoln,United Kingdom,38.2–43.2,75.9,31.5,83.4,18.7,20.2
601–800,University of Lorraine,France,38.2–43.2,57.4,67.7,70.8,20.1,27.8
601–800,University of Malakand,Pakistan,38.2–43.2,74.1,31.1,50.0,12.7,26.4
601–800,"University of Maryland, Baltimore County",United States,38.2–43.2,61.1,66.3,55.9,25.1,28.0
601–800,University of Minho,Portugal,38.2–43.2,57.6,81.5,49.6,32.7,27.6
601–800,University of Mons,Belgium,38.2–43.2,59.5,64.2,73.0,31.4,25.8
601–800,"University of Nevada, Las Vegas",United States,38.2–43.2,69.2,51.1,36.8,25.7,28.3
601–800,University of New Brunswick UNB,Canada,38.2–43.2,61.9,67.1,81.2,23.6,22.1
601–800,University of North Carolina at Charlotte,United States,38.2–43.2,79.3,62.3,39.9,21.4,23.3
601–800,University of Palermo,Italy,38.2–43.2,64.7,51.3,36.6,25.8,32.4
601–800,University of Parma,Italy,38.2–43.2,73.8,66.0,38.2,23.7,20.4
601–800,University of Pretoria,South Africa,38.2–43.2,56.4,64.1,61.7,34.3,29.8
601–800,University of Rennes 1,France,38.2–43.2,53.2,71.4,62.5,20.4,33.1
601–800,University of Santiago de Compostela,Spain,38.2–43.2,58.7,44.9,48.1,21.7,30.2
601–800,University of Sassari,Italy,38.2–43.2,63.9,48.6,41.1,26.2,32.5
601–800,University of Stavanger,Norway,38.2–43.2,71.6,30.4,75.4,16.4,25.4
601–800,University of Tabriz,Iran,38.2–43.2,75.7,44.9,45.0,21.4,27.9
601–800,University of Texas at Arlington,United States,38.2–43.2,64.8,64.8,56.7,23.4,25.4
601–800,University of the Basque Country,Spain,38.2–43.2,66.3,60.2,45.2,23.9,27.8
601–800,University of the Sunshine Coast,Australia,38.2–43.2,70.7,56.9,69.1,28.2,21.0
601–800,University of the Western Cape,South Africa,38.2–43.2,63.9,23.6,65.1,24.8,23.8
601–800,UWE Bristol (University of the West of England),United Kingdom,38.2–43.2,80.2,55.0,81.9,15.1,18.7
601–800,University of the West of Scotland,United Kingdom,38.2–43.2,69.0,66.0,89.6,16.1,24.0
601–800,University of Toledo,United States,38.2–43.2,53.3,62.6,56.8,17.5,36.4
601–800,University of Tuscia,Italy,38.2–43.2,66.3,53.7,43.8,23.7,23.1
601–800,University of Udine,Italy,38.2–43.2,68.3,57.8,41.5,20.5,28.9
601–800,University of Warsaw,Poland,38.2–43.2,53.6,36.4,46.1,31.6,34.8
601–800,University of Wyoming,United States,38.2–43.2,59.3,53.0,38.6,19.4,35.1
601–800,Urmia University of Medical Sciences,Iran,38.2–43.2,67.6,20.2,27.7,11.5,42.5
601–800,VIT University,India,38.2–43.2,69.4,36.0,43.9,15.1,28.4
601–800,Wenzhou University,China,38.2–43.2,83.3,37.6,37.1,15.8,16.2
601–800,William & Mary,United States,38.2–43.2,56.6,43.8,38.0,21.9,40.5
601–800,Worcester Polytechnic Institute,United States,38.2–43.2,62.9,66.0,57.2,22.5,30.0
601–800,Xi’an Jiaotong-Liverpool University,China,38.2–43.2,69.8,38.8,76.2,16.3,19.8
601–800,Xidian University,China,38.2–43.2,63.6,92.6,25.7,25.5,27.5
601–800,Yeungnam University,South Korea,38.2–43.2,73.8,56.9,62.9,21.2,24.3
601–800,Zhejiang Normal University,China,38.2–43.2,78.9,59.4,34.7,20.2,20.4
601–800,Zhejiang University of Technology,China,38.2–43.2,65.3,85.8,30.5,23.1,21.4
801–1000,Abdul Wali Khan University Mardan,Pakistan,34.5–38.1,81.2,21.8,49.4,12.7,18.8
801–1000,Alagappa University,India,34.5–38.1,62.3,29.7,43.9,14.0,36.0
801–1000,Al al-Bayt University,Jordan,34.5–38.1,76.4,17.1,51.9,11.3,12.6
801–1000,Al-Azhar University,Egypt,34.5–38.1,69.7,22.0,57.2,11.5,19.9
801–1000,Amedeo Avogadro University of Eastern Piedmont,Italy,34.5–38.1,71.6,51.2,49.5,23.4,13.3
801–1000,Arak University of Medical Sciences,Iran,34.5–38.1,69.0,24.1,23.3,11.5,34.5
801–1000,Aristotle University of Thessaloniki,Greece,34.5–38.1,64.6,60.6,36.8,19.3,21.3
801–1000,Arts et Métiers,France,34.5–38.1,38.4,75.9,68.2,20.1,31.0
801–1000,Bahçeşehir University,Turkey,34.5–38.1,59.1,35.0,62.1,23.2,18.3
801–1000,Gazipur Agricultural University,Bangladesh,34.5–38.1,77.3,16.7,51.8,9.1,24.6
801–1000,Bharathiar University,India,34.5–38.1,49.7,43.2,31.6,25.4,37.3
801–1000,Birjand University of Medical Sciences,Iran,34.5–38.1,64.6,18.3,34.9,12.3,34.4
801–1000,Birmingham City University,United Kingdom,34.5–38.1,66.6,23.3,84.9,12.1,18.3
801–1000,Bucharest University of Economic Studies,Romania,34.5–38.1,79.6,18.6,29.8,11.6,18.9
801–1000,Cairo University,Egypt,34.5–38.1,59.9,42.5,47.3,19.7,26.9
801–1000,Cankaya University,Turkey,34.5–38.1,82.9,19.5,52.3,15.4,13.7
801–1000,Carlos III University of Madrid,Spain,34.5–38.1,43.7,65.0,62.9,21.6,30.8
801–1000,Catholic University of Portugal,Portugal,34.5–38.1,59.3,32.0,56.7,21.0,18.0
801–1000,Changsha University of Science and Technology,China,34.5–38.1,70.1,66.8,26.0,14.7,15.8
801–1000,Charles Sturt University,Australia,34.5–38.1,63.1,52.1,60.1,18.2,18.3
801–1000,Chengdu University,China,34.5–38.1,76.9,32.8,28.0,13.4,18.6
801–1000,China Pharmaceutical University,China,34.5–38.1,54.1,82.3,21.5,20.0,26.2
801–1000,China University of Petroleum (East China),China,34.5–38.1,60.3,84.1,23.0,24.4,23.1
801–1000,Chonnam National University,South Korea,34.5–38.1,45.2,64.2,31.4,28.8,32.2
801–1000,Covenant University,Nigeria,34.5–38.1,51.0,53.9,47.2,25.0,23.1
801–1000,CY Cergy Paris University,France,34.5–38.1,46.2,57.7,91.8,25.0,25.3
801–1000,Czech University of Life Sciences Prague (CZU),Czechia,34.5–38.1,60.0,48.6,78.8,16.8,21.8
801–1000,Daffodil International University (DIU),Bangladesh,34.5–38.1,82.6,18.9,65.2,11.5,12.1
801–1000,Delhi Technological University,India,34.5–38.1,67.8,32.5,20.0,20.7,23.2
801–1000,Eötvös Loránd University,Hungary,34.5–38.1,53.5,36.9,51.6,21.0,30.2
801–1000,European University Cyprus,Cyprus,34.5–38.1,61.8,19.5,91.6,15.6,21.0
801–1000,Federal University of Minas Gerais,Brazil,34.5–38.1,40.3,49.5,32.4,21.5,40.9
801–1000,Ferdowsi University of Mashhad,Iran,34.5–38.1,49.9,47.1,35.4,26.9,29.4
801–1000,Florida Institute of Technology,United States,34.5–38.1,46.1,63.4,62.1,20.2,31.1
801–1000,Gabriele d‘Annunzio University,Italy,34.5–38.1,66.3,55.2,39.0,20.2,17.0
801–1000,Glasgow Caledonian University,United Kingdom,34.5–38.1,63.9,47.4,79.4,13.7,18.5
801–1000,Golestan University of Medical Sciences,Iran,34.5–38.1,63.0,22.1,30.3,10.8,38.3
801–1000,Guangzhou Medical University,China,34.5–38.1,72.9,37.9,26.8,11.0,24.7
801–1000,Guilan University of Medical Sciences,Iran,34.5–38.1,60.0,29.3,24.5,11.6,40.0
801–1000,Hacettepe University,Turkey,34.5–38.1,50.2,65.6,26.8,29.3,30.7
801–1000,Hanoi Medical University,Vietnam,34.5–38.1,62.1,34.9,47.6,11.4,33.9
801–1000,Harbin Engineering University,China,34.5–38.1,47.3,91.9,23.8,31.5,26.8
801–1000,Ilam University of Medical Sciences,Iran,34.5–38.1,66.7,19.2,25.0,12.0,32.9
801–1000,Imam Khomeini International University,Iran,34.5–38.1,62.7,22.3,34.1,18.6,30.8
801–1000,Indian Institute of Technology Gandhinagar,India,34.5–38.1,38.5,30.9,33.9,28.5,40.0
801–1000,Indian Institute of Technology Guwahati,India,34.5–38.1,50.6,52.7,30.9,26.1,35.6
801–1000,Indian Institute of Technology Ropar,India,34.5–38.1,47.5,32.9,24.4,20.0,38.8
801–1000,Inha University,South Korea,34.5–38.1,44.2,77.5,39.2,27.6,30.9
801–1000,Institute of Chemical Technology,India,34.5–38.1,53.8,63.0,17.9,22.7,34.3
801–1000,"International Islamic University, Islamabad",Pakistan,34.5–38.1,77.3,20.3,58.6,11.4,20.2
801–1000,Isfahan University of Medical Sciences,Iran,34.5–38.1,44.3,31.8,25.4,15.0,46.8
801–1000,ITMO UniversityRussian Federation,Russian Federation,34.5–38.1,34.8,81.1,63.3,32.8,32.4
801–1000,Jahangirnagar University,Bangladesh,34.5–38.1,75.4,19.3,49.5,9.7,25.4
801–1000,Jamia Hamdard University,India,34.5–38.1,73.1,38.8,42.5,14.1,23.3
801–1000,Jashore University of Science and Technology,Bangladesh,34.5–38.1,75.8,18.8,47.8,10.4,15.4
801–1000,Jaume I University,Spain,34.5–38.1,53.0,47.5,45.9,22.0,25.4
801–1000,Jawaharlal Nehru Technological University Anantapur (JNTUA),India,34.5–38.1,72.0,20.5,19.8,17.3,30.0
801–1000,Jawaharlal Nehru University,India,34.5–38.1,47.1,38.5,23.7,23.7,42.8
801–1000,Jaypee University of Information Technology,India,34.5–38.1,70.1,26.8,25.6,17.8,19.2
801–1000,Jazan University,Saudi Arabia,34.5–38.1,70.3,19.5,76.7,11.0,21.7
801–1000,Jeonbuk National University,South Korea,34.5–38.1,44.9,67.2,34.5,27.8,30.7
801–1000,Jordan University of Science and Technology,Jordan,34.5–38.1,64.6,46.3,70.6,15.4,20.6
801–1000,Jouf University,Saudi Arabia,34.5–38.1,65.7,19.3,76.8,13.5,24.2
801–1000,JSS Academy of Higher Education and Research,India,34.5–38.1,50.2,25.1,53.5,10.8,39.0
801–1000,Kadir Has University,Turkey,34.5–38.1,60.2,22.4,52.8,32.3,18.1
801–1000,Kalasalingam Academy of Research and Education,India,34.5–38.1,71.8,22.9,47.7,9.1,28.5
801–1000,Kaohsiung Medical University,Taiwan,34.5–38.1,44.6,83.0,30.9,27.7,27.1
801–1000,Kazan Federal UniversityRussian Federation,Russian Federation,34.5–38.1,29.2,47.0,69.1,22.3,46.2
801–1000,Kerman University of Medical Sciences,Iran,34.5–38.1,57.1,20.0,25.2,14.8,41.8
801–1000,Khwaja Fareed University of Engineering and Information Technology,Pakistan,34.5–38.1,75.7,36.9,51.3,11.9,12.0
801–1000,King Mongkut’s University of Technology Thonburi,Thailand,34.5–38.1,58.0,75.2,43.7,23.6,22.5
801–1000,King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,34.5–38.1,41.5,45.8,60.6,19.5,42.7
801–1000,Kingston University,United Kingdom,34.5–38.1,53.1,48.4,91.0,15.5,20.0
801–1000,KL University,India,34.5–38.1,77.2,18.3,23.8,14.0,24.9
801–1000,K.N. Toosi University of Technology,Iran,34.5–38.1,61.1,45.1,36.3,21.0,22.0
801–1000,Lahore University of Management Sciences,Pakistan,34.5–38.1,60.6,38.1,52.1,19.7,25.7
801–1000,Leeds Beckett University,United Kingdom,34.5–38.1,66.1,47.8,71.8,15.5,17.8
801–1000,Lithuanian University of Health Sciences,Lithuania,34.5–38.1,59.9,27.0,56.3,13.3,28.9
801–1000,Management & Science University (MSU),Malaysia,34.5–38.1,50.8,19.5,88.3,11.5,29.9
801–1000,Manipal Academy of Higher Education,India,34.5–38.1,47.8,50.1,51.0,17.0,42.6
801–1000,Mashhad University of Medical Sciences,Iran,34.5–38.1,61.9,34.1,30.4,15.3,33.8
801–1000,Medical University of Lodz,Poland,34.5–38.1,65.1,43.0,32.0,11.3,29.0
801–1000,Montanuniversität Leoben,Austria,34.5–38.1,37.9,79.9,76.9,22.8,36.4
801–1000,Najran University,Saudi Arabia,34.5–38.1,71.0,17.5,76.5,11.1,14.0
801–1000,Nanjing Medical University,China,34.5–38.1,59.5,46.7,24.8,15.7,36.8
801–1000,Nanjing Normal University,China,34.5–38.1,69.5,62.6,28.1,16.6,25.0
801–1000,Nanjing University of Information Science and Technology,China,34.5–38.1,67.8,53.2,39.8,18.7,18.7
801–1000,National Autonomous University of Mexico,Mexico,34.5–38.1,35.6,63.0,59.8,29.8,28.4
801–1000,National Institute of Technology Rourkela,India,34.5–38.1,63.6,55.2,21.9,21.0,29.6
801–1000,National Institute of Technology Silchar,India,34.5–38.1,64.8,20.6,20.9,17.3,33.9
801–1000,"National Institute of Technology, Tiruchirappalli",India,34.5–38.1,58.6,34.0,21.6,17.2,31.3
801–1000,National Technical University of Athens,Greece,34.5–38.1,55.1,54.4,35.4,23.5,30.3
801–1000,National Veterinary School of Alfort (EnvA),France,34.5–38.1,44.3,46.4,55.7,11.8,44.3
801–1000,New Mexico State University (Main campus),United States,34.5–38.1,58.0,56.0,44.8,23.2,27.4
801–1000,North China Electric Power University,China,34.5–38.1,53.8,89.0,22.2,28.1,22.1
801–1000,Northeast Agricultural University,China,34.5–38.1,81.4,37.8,18.3,13.1,18.6
801–1000,Northeast Normal University,China,34.5–38.1,62.0,49.7,31.5,16.5,28.8
801–1000,Northern Illinois University,United States,34.5–38.1,56.8,51.0,62.4,17.2,29.7
801–1000,North South University,Bangladesh,34.5–38.1,80.3,24.3,45.9,10.7,14.8
801–1000,North-West University,South Africa,34.5–38.1,64.9,48.3,57.5,19.9,21.2
801–1000,Norwegian University of Life Sciences,Norway,34.5–38.1,59.7,39.0,68.6,15.1,30.8
801–1000,Novosibirsk State UniversityRussian Federation,Russian Federation,34.5–38.1,26.8,43.0,50.7,33.7,39.5
801–1000,Okayama University,Japan,34.5–38.1,38.5,87.2,37.7,22.7,35.7
801–1000,Old Dominion University,United States,34.5–38.1,56.6,59.3,37.5,20.4,26.0
801–1000,Ontario Tech University,Canada,34.5–38.1,61.4,53.6,64.0,25.0,17.7
801–1000,Ozyegin University,Turkey,34.5–38.1,49.9,68.4,59.2,24.6,19.2
801–1000,Pablo de Olavide University,Spain,34.5–38.1,59.0,52.2,52.0,18.3,23.6
801–1000,Panthéon-Sorbonne University – Paris 1,France,34.5–38.1,37.1,34.1,66.4,33.8,34.0
801–1000,PMAS Arid Agriculture University Rawalpindi,Pakistan,34.5–38.1,61.8,23.6,48.3,12.5,27.8
801–1000,Portland State University,United States,34.5–38.1,58.2,53.2,34.9,24.6,20.7
801–1000,Reichman University,Israel,34.5–38.1,63.3,41.6,61.6,18.0,13.6
801–1000,Reykjavík University,Iceland,34.5–38.1,62.8,29.7,61.5,25.0,17.1
801–1000,Robert Gordon University,United Kingdom,34.5–38.1,61.4,38.0,88.3,13.4,17.2
